,name,gender,Name Rank,age,agreeableness_score,conscientiousness_score,surgency_score,emotional_stability_score,intellect_score,Condition_feels normal,Condition_has a fever and a cough,Condition_has a light cough,Daily New Cases Day 4,Time Step,Response
0,Matthew,1,0.9599999999999999,45,1,1,0,1,0,True,False,False,0.0,0,0
1,Lisa,0,0.9949999999999999,24,1,1,0,0,0,True,False,False,0.0,0,0
2,Amanda,0,0.9839999999999999,25,0,1,1,1,0,True,False,False,0.0,0,0
3,Kathy,0,0.9579999999999999,34,1,0,1,1,1,True,False,False,0.0,0,0
4,Elizabeth,0,0.9919999999999999,52,1,0,1,1,1,True,False,False,0.0,0,0
5,Diana,0,0.9739999999999999,45,1,1,0,0,1,True,False,False,0.0,0,0
6,Kelly,0,0.9709999999999999,25,0,0,0,1,1,True,False,False,0.0,0,1
7,Melissa,0,0.9849999999999999,61,1,0,1,0,0,True,False,False,0.0,0,0
8,Cindy,0,0.9539999999999998,31,1,0,0,1,1,True,False,False,0.0,0,0
9,Robert,1,0.9879999999999999,35,1,0,1,0,1,True,False,False,0.0,0,0
10,Claudia,0,0.9619999999999999,59,0,0,0,0,0,True,False,False,0.0,0,0
11,Amy,0,0.9789999999999999,19,1,1,0,1,0,True,False,False,0.0,0,0
12,Jessica,0,0.9969999999999999,18,0,1,1,0,0,True,False,False,0.0,0,0
13,Lauren,0,0.9609999999999999,31,1,0,1,1,1,True,False,False,0.0,0,0
14,John,1,0.9969999999999999,56,1,1,0,0,1,True,False,False,0.0,0,0
15,Steven,1,0.9529999999999998,28,1,0,0,0,0,True,False,False,0.0,0,0
16,Barbara,0,0.9649999999999999,50,1,0,1,0,0,True,False,False,0.0,0,0
17,Sandra,0,0.9859999999999999,26,1,1,1,0,0,True,False,False,0.0,0,0
18,Monica,0,0.9629999999999999,60,1,1,1,1,0,True,False,False,0.0,0,0
19,Martha,0,0.9719999999999999,49,1,0,0,1,0,True,False,False,0.0,0,0
20,Emily,0,0.9809999999999999,18,1,0,0,1,0,True,False,False,0.0,0,0
21,William,1,0.9719999999999999,62,0,1,1,1,0,True,False,False,0.0,0,0
22,Javier,1,0.9519999999999998,26,1,0,0,1,0,True,False,False,0.0,0,0
23,Anna,0,0.9699999999999999,62,0,0,1,0,0,True,False,False,0.0,0,0
24,Joe,1,0.9809999999999999,35,0,0,1,1,0,True,False,False,0.0,0,0
25,Oscar,1,0.9549999999999998,30,1,0,1,0,1,True,False,False,0.0,0,0
26,Gloria,0,0.9599999999999999,37,0,0,1,1,1,True,False,False,0.0,0,0
27,Brian,1,0.9849999999999999,24,1,1,1,0,1,True,False,False,0.0,0,0
28,Ashley,0,0.9899999999999999,60,0,1,1,0,0,True,False,False,0.0,0,0
29,Christopher,1,0.9539999999999998,34,0,1,1,1,1,True,False,False,0.0,0,0
30,Jennifer,0,0.9979999999999999,56,0,1,1,1,1,True,False,False,0.0,0,0
31,Karen,0,0.9879999999999999,55,0,0,0,0,0,True,False,False,0.0,0,0
32,Stephanie,0,0.9869999999999999,25,0,0,1,0,1,True,False,False,0.0,0,0
33,Mary,0,0.9989999999999999,58,1,1,1,1,1,True,False,False,0.0,0,0
34,Rosa,0,0.9759999999999999,40,1,0,0,1,1,True,False,False,0.0,0,0
35,Steve,1,0.9639999999999999,52,0,1,1,1,1,True,False,False,0.0,0,0
36,Alex,1,0.9919999999999999,62,0,0,0,0,1,True,False,False,0.0,0,0
37,Teresa,0,0.9549999999999998,38,1,1,0,1,0,True,False,False,0.0,0,0
38,Michelle,0,0.9959999999999999,61,1,0,0,1,0,True,False,False,0.0,0,0
39,Pedro,1,0.9509999999999998,19,0,1,0,1,1,True,False,False,0.0,0,0
40,Rachel,0,0.9729999999999999,31,0,1,1,1,0,True,False,False,0.0,0,0
41,Sarah,0,0.9939999999999999,54,1,1,0,1,0,True,False,False,0.0,0,0
42,James,1,0.9899999999999999,20,1,0,0,1,1,True,False,False,0.0,0,0
43,Carmen,0,0.9779999999999999,40,1,1,1,1,1,True,False,False,0.0,0,0
44,Luis,1,0.9939999999999999,30,0,0,1,0,0,True,False,False,0.0,0,0
45,Matt,1,0.9689999999999999,30,0,0,0,0,1,True,False,False,0.0,0,1
46,Angela,0,0.9749999999999999,36,0,1,1,1,0,True,False,False,0.0,0,0
47,Michael,1,0.9979999999999999,51,1,1,0,0,0,True,False,False,0.0,0,0
48,Daniel,1,0.9909999999999999,27,1,1,0,0,0,True,False,False,0.0,0,0
49,Jason,1,0.9819999999999999,31,1,0,1,1,1,True,False,False,0.0,0,0
50,Brenda,0,0.9689999999999999,36,1,1,0,0,0,True,False,False,0.0,0,0
51,Carlos,1,0.9949999999999999,41,0,1,0,0,0,True,False,False,0.0,0,0
52,Andrew,1,0.9779999999999999,24,0,1,0,0,0,True,False,False,0.0,0,0
53,Juan,1,0.9959999999999999,40,1,0,1,0,1,True,False,False,0.0,0,0
54,Jorge,1,0.9839999999999999,59,1,1,0,1,0,True,False,False,0.0,0,0
55,Justin,1,0.9629999999999999,30,1,0,0,0,1,True,False,False,0.0,0,0
56,Mario,1,0.9589999999999999,61,1,1,0,0,1,True,False,False,0.0,0,0
57,Linda,0,0.9889999999999999,42,1,0,1,0,1,True,False,False,0.0,0,0
58,Manuel,1,0.9669999999999999,47,0,1,0,0,0,True,False,False,0.0,0,0
59,Richard,1,0.9729999999999999,49,0,0,1,0,0,True,False,False,0.0,0,0
60,Chris,1,0.9929999999999999,47,1,1,1,0,0,True,False,False,0.0,0,0
61,Antonio,1,0.9659999999999999,32,0,0,1,1,1,True,False,False,0.0,0,0
62,Nick,1,0.9569999999999999,27,1,1,0,1,1,True,False,False,0.0,0,0
63,Jose,1,0.9999999999999999,39,1,1,1,0,1,True,False,False,0.0,0,0
64,Kimberly,0,0.9529999999999998,54,0,1,0,0,0,True,False,False,0.0,0,0
65,Susan,0,0.9769999999999999,60,0,1,0,0,0,True,False,False,0.0,0,0
66,Sara,0,0.9679999999999999,52,1,1,1,1,1,True,False,False,0.0,0,0
67,Mike,1,0.9889999999999999,41,1,1,0,0,0,True,False,False,0.0,0,0
68,Julie,0,0.9669999999999999,30,1,1,1,0,0,True,False,False,0.0,0,0
69,Veronica,0,0.9589999999999999,46,1,0,1,0,1,True,False,False,0.0,0,0
70,Jesus,1,0.9759999999999999,53,1,0,0,0,0,True,False,False,0.0,0,0
71,Laura,0,0.9909999999999999,19,0,0,1,1,0,True,False,False,0.0,0,0
72,Brandon,1,0.9619999999999999,49,1,0,1,1,1,True,False,False,0.0,0,0
73,Kim,0,0.9659999999999999,49,1,1,0,1,0,True,False,False,0.0,0,0
74,Maria,0,0.9999999999999999,37,1,0,1,1,0,True,False,False,0.0,0,0
75,Scott,1,0.9579999999999999,45,0,1,0,1,1,True,False,False,0.0,0,0
76,Anthony,1,0.9829999999999999,42,0,1,1,0,1,True,False,False,0.0,0,0
77,Heather,0,0.9569999999999999,44,1,1,1,1,0,True,False,False,0.0,0,0
78,Christina,0,0.9509999999999998,51,1,0,1,0,0,True,False,False,0.0,0,0
79,Joseph,1,0.9679999999999999,29,0,0,1,1,1,True,False,False,0.0,0,0
80,Ana,0,0.9929999999999999,59,1,0,1,1,1,True,False,False,0.0,0,0
81,Patricia,0,0.9819999999999999,41,0,0,0,1,0,True,False,False,0.0,0,0
82,Kevin,1,0.9869999999999999,41,1,0,1,0,1,True,False,False,0.0,0,0
83,Samantha,0,0.9559999999999998,39,1,0,1,0,0,True,False,False,0.0,0,0
84,Angel,1,0.9739999999999999,47,1,0,1,0,1,True,False,False,0.0,0,0
85,Tony,1,0.9649999999999999,26,1,1,1,1,1,True,False,False,0.0,0,0
86,Katie,0,0.9639999999999999,41,0,1,0,1,0,True,False,False,0.0,0,0
87,David,1,0.9989999999999999,30,1,0,0,1,0,True,False,False,0.0,0,1
88,Eric,1,0.9789999999999999,53,1,1,0,0,0,True,False,False,0.0,0,0
89,Nancy,0,0.9829999999999999,39,0,1,0,0,1,True,False,False,0.0,0,0
90,Jeff,1,0.9609999999999999,52,0,0,1,0,0,True,False,False,0.0,0,0
91,Victor,1,0.9709999999999999,60,0,1,0,0,0,True,False,False,0.0,0,0
92,Sharon,0,0.9519999999999998,19,0,0,1,1,0,True,False,False,0.0,0,0
93,Ryan,1,0.9769999999999999,50,0,0,1,1,0,True,False,False,0.0,0,0
94,Paul,1,0.9749999999999999,26,0,0,1,1,1,True,False,False,0.0,0,0
95,Miguel,1,0.9799999999999999,64,0,1,0,1,0,True,False,False,0.0,0,0
96,Nicole,0,0.9799999999999999,47,1,0,1,0,1,True,False,False,0.0,0,0
97,Jonathan,1,0.9699999999999999,64,0,0,1,0,1,True,False,False,0.0,0,0
98,Mark,1,0.9859999999999999,37,0,0,1,1,0,True,False,False,0.0,0,0
99,Francisco,1,0.9559999999999998,52,0,0,0,0,0,True,False,False,0.0,0,0
100,Matthew,1,0.9599999999999999,45,1,1,0,1,0,True,False,False,0.0,1,0
101,Lisa,0,0.9949999999999999,24,1,1,0,0,0,True,False,False,0.0,1,0
102,Amanda,0,0.9839999999999999,25,0,1,1,1,0,True,False,False,0.0,1,0
103,Kathy,0,0.9579999999999999,34,1,0,1,1,1,True,False,False,0.0,1,0
104,Elizabeth,0,0.9919999999999999,52,1,0,1,1,1,True,False,False,0.0,1,0
105,Diana,0,0.9739999999999999,45,1,1,0,0,1,True,False,False,0.0,1,0
106,Kelly,0,0.9709999999999999,25,0,0,0,1,1,True,False,False,0.0,1,0
107,Melissa,0,0.9849999999999999,61,1,0,1,0,0,True,False,False,0.0,1,0
108,Cindy,0,0.9539999999999998,31,1,0,0,1,1,True,False,False,0.0,1,0
109,Robert,1,0.9879999999999999,35,1,0,1,0,1,True,False,False,0.0,1,0
110,Claudia,0,0.9619999999999999,59,0,0,0,0,0,True,False,False,0.0,1,0
111,Amy,0,0.9789999999999999,19,1,1,0,1,0,True,False,False,0.0,1,0
112,Jessica,0,0.9969999999999999,18,0,1,1,0,0,True,False,False,0.0,1,0
113,Lauren,0,0.9609999999999999,31,1,0,1,1,1,True,False,False,0.0,1,0
114,John,1,0.9969999999999999,56,1,1,0,0,1,True,False,False,0.0,1,0
115,Steven,1,0.9529999999999998,28,1,0,0,0,0,True,False,False,0.0,1,0
116,Barbara,0,0.9649999999999999,50,1,0,1,0,0,True,False,False,0.0,1,0
