,name,gender,Name Rank,age,agreeableness_score,conscientiousness_score,surgency_score,emotional_stability_score,intellect_score,Condition_feels normal,Condition_has a fever and a cough,Condition_has a light cough,Daily New Cases Day 4,Time Step,Response
0,Barbara,0,0.9649999999999999,60,1,1,0,1,0,True,False,False,0.0,0,0
1,Joe,1,0.9809999999999999,33,0,1,0,0,1,True,False,False,0.0,0,0
2,Luis,1,0.9939999999999999,25,0,0,1,0,0,True,False,False,0.0,0,0
3,Kim,0,0.9659999999999999,19,1,1,0,0,0,True,False,False,0.0,0,0
4,Matt,1,0.9689999999999999,55,1,1,1,0,0,True,False,False,0.0,0,0
5,Justin,1,0.9629999999999999,54,1,1,0,1,0,True,False,False,0.0,0,0
6,Gloria,0,0.9599999999999999,56,1,1,0,0,1,True,False,False,0.0,0,0
7,Carlos,1,0.9949999999999999,58,0,1,0,1,1,True,False,False,0.0,0,0
8,Christopher,1,0.9539999999999998,29,0,1,1,0,0,True,False,False,0.0,0,0
9,Angela,0,0.9749999999999999,58,0,1,0,0,0,True,False,False,0.0,0,0
10,Nick,1,0.9569999999999999,22,1,1,1,1,1,True,False,False,0.0,0,0
11,Jessica,0,0.9969999999999999,62,0,1,1,0,1,True,False,False,0.0,0,0
12,Michelle,0,0.9959999999999999,43,1,1,0,0,1,True,False,False,0.0,0,0
13,Elizabeth,0,0.9919999999999999,39,0,1,1,0,1,True,False,False,0.0,0,0
14,Julie,0,0.9669999999999999,25,1,0,1,1,0,True,False,False,0.0,0,0
15,Samantha,0,0.9559999999999998,53,1,1,1,1,1,True,False,False,0.0,0,0
16,Javier,1,0.9519999999999998,32,1,1,0,0,0,True,False,False,0.0,0,0
17,Michael,1,0.9979999999999999,54,1,0,1,1,1,True,False,False,0.0,0,0
18,Anthony,1,0.9829999999999999,27,0,0,0,0,0,True,False,False,0.0,0,0
19,Martha,0,0.9719999999999999,43,1,0,1,0,0,True,False,False,0.0,0,0
20,Pedro,1,0.9509999999999998,22,0,1,1,1,1,True,False,False,0.0,0,0
21,Daniel,1,0.9909999999999999,53,0,1,1,1,0,True,False,False,0.0,0,0
22,Jorge,1,0.9839999999999999,54,1,0,1,0,1,True,False,False,0.0,0,0
23,Christina,0,0.9509999999999998,27,0,0,1,0,1,True,False,False,0.0,0,0
24,Sharon,0,0.9519999999999998,64,1,0,1,0,0,True,False,False,0.0,0,0
25,Robert,1,0.9879999999999999,48,0,1,0,1,0,True,False,False,0.0,0,0
26,Steven,1,0.9529999999999998,31,1,1,0,1,0,True,False,False,0.0,0,0
27,Anna,0,0.9699999999999999,51,1,1,1,1,1,True,False,False,0.0,0,0
28,Nicole,0,0.9799999999999999,56,0,1,0,0,0,True,False,False,0.0,0,0
29,Rosa,0,0.9759999999999999,18,1,0,1,1,1,True,False,False,0.0,0,0
30,Mary,0,0.9989999999999999,30,1,1,0,0,0,True,False,False,0.0,0,0
31,Ashley,0,0.9899999999999999,32,1,1,1,1,0,True,False,False,0.0,0,0
32,Steve,1,0.9639999999999999,41,1,1,1,0,0,True,False,False,0.0,0,0
33,Nancy,0,0.9829999999999999,50,1,0,1,0,1,True,False,False,0.0,0,0
34,Jason,1,0.9819999999999999,44,1,0,0,0,0,True,False,False,0.0,0,0
35,Ana,0,0.9929999999999999,58,0,1,0,0,1,True,False,False,0.0,0,0
36,Kimberly,0,0.9529999999999998,34,1,1,1,0,0,True,False,False,0.0,0,0
37,Claudia,0,0.9619999999999999,57,1,0,1,0,0,True,False,False,0.0,0,0
38,Katie,0,0.9639999999999999,43,0,0,0,1,0,True,False,False,0.0,0,0
39,Rachel,0,0.9729999999999999,46,0,1,0,0,1,True,False,False,0.0,0,0
40,Mark,1,0.9859999999999999,26,0,1,0,0,1,True,False,False,0.0,0,0
41,Richard,1,0.9729999999999999,30,0,1,1,0,0,True,False,False,0.0,0,0
42,Manuel,1,0.9669999999999999,38,0,0,0,1,0,True,False,False,0.0,0,0
43,Lisa,0,0.9949999999999999,25,1,0,0,0,1,True,False,False,0.0,0,0
44,William,1,0.9719999999999999,49,1,0,1,1,0,True,False,False,0.0,0,0
45,Linda,0,0.9889999999999999,57,0,1,0,1,1,True,False,False,0.0,0,0
46,Jennifer,0,0.9979999999999999,56,1,0,1,0,0,True,False,False,0.0,0,0
47,Brian,1,0.9849999999999999,64,1,1,1,1,1,True,False,False,0.0,0,0
48,Jonathan,1,0.9699999999999999,58,0,0,1,1,0,True,False,False,0.0,0,0
49,Juan,1,0.9959999999999999,58,1,0,1,0,1,True,False,False,0.0,0,0
50,Sarah,0,0.9939999999999999,64,0,1,0,0,1,True,False,False,0.0,0,0
51,Eric,1,0.9789999999999999,24,1,0,0,1,1,True,False,False,0.0,0,0
52,Victor,1,0.9709999999999999,26,0,1,0,1,1,True,False,False,0.0,0,0
53,Oscar,1,0.9549999999999998,51,1,1,0,1,0,True,False,False,0.0,0,0
54,Alex,1,0.9919999999999999,40,0,1,1,1,0,True,False,False,0.0,0,0
55,Mario,1,0.9589999999999999,43,1,1,1,0,0,True,False,False,0.0,0,0
56,Maria,0,0.9999999999999999,46,1,1,0,0,0,True,False,False,0.0,0,0
57,David,1,0.9989999999999999,28,0,1,0,0,1,True,False,False,0.0,0,0
58,Diana,0,0.9739999999999999,64,1,1,1,1,1,True,False,False,0.0,0,0
59,James,1,0.9899999999999999,33,0,1,1,0,0,True,False,False,0.0,0,0
60,Kelly,0,0.9709999999999999,61,1,0,1,0,1,True,False,False,0.0,0,0
61,Susan,0,0.9769999999999999,64,0,1,1,1,1,True,False,False,0.0,0,0
62,Tony,1,0.9649999999999999,27,0,0,0,1,0,True,False,False,0.0,0,0
63,Chris,1,0.9929999999999999,39,1,0,0,1,0,True,False,False,0.0,0,0
64,Miguel,1,0.9799999999999999,18,1,0,0,1,0,True,False,False,0.0,0,0
65,Jeff,1,0.9609999999999999,58,0,1,1,1,0,True,False,False,0.0,0,0
66,Carmen,0,0.9779999999999999,39,0,1,1,1,0,True,False,False,0.0,0,0
67,John,1,0.9969999999999999,32,0,0,1,1,1,True,False,False,0.0,0,0
68,Ryan,1,0.9769999999999999,64,1,1,0,1,0,True,False,False,0.0,0,0
69,Heather,0,0.9569999999999999,28,0,1,0,0,0,True,False,False,0.0,0,0
70,Brandon,1,0.9619999999999999,25,1,1,1,0,0,True,False,False,0.0,0,0
71,Mike,1,0.9889999999999999,25,0,1,1,0,1,True,False,False,0.0,0,0
72,Brenda,0,0.9689999999999999,44,0,0,1,1,1,True,False,False,0.0,0,0
73,Melissa,0,0.9849999999999999,62,0,1,0,1,0,True,False,False,0.0,0,0
74,Joseph,1,0.9679999999999999,29,1,1,1,1,1,True,False,False,0.0,0,0
75,Emily,0,0.9809999999999999,18,1,1,0,0,1,True,False,False,0.0,0,0
76,Teresa,0,0.9549999999999998,43,1,0,0,0,1,True,False,False,0.0,0,0
77,Paul,1,0.9749999999999999,34,1,0,0,0,1,True,False,False,0.0,0,0
78,Lauren,0,0.9609999999999999,43,1,1,1,1,1,True,False,False,0.0,0,0
79,Laura,0,0.9909999999999999,33,1,1,0,1,0,True,False,False,0.0,0,0
80,Amy,0,0.9789999999999999,19,0,1,1,0,0,True,False,False,0.0,0,0
81,Angel,1,0.9739999999999999,23,0,1,1,1,0,True,False,False,0.0,0,0
82,Scott,1,0.9579999999999999,54,1,1,0,1,1,True,False,False,0.0,0,0
83,Jesus,1,0.9759999999999999,60,0,1,1,1,1,True,False,False,0.0,0,0
84,Antonio,1,0.9659999999999999,27,1,0,0,1,0,True,False,False,0.0,0,0
85,Patricia,0,0.9819999999999999,64,0,1,1,1,1,True,False,False,0.0,0,0
86,Kathy,0,0.9579999999999999,26,1,0,1,0,0,True,False,False,0.0,0,0
87,Veronica,0,0.9589999999999999,21,1,0,0,0,1,True,False,False,0.0,0,0
88,Monica,0,0.9629999999999999,31,1,0,0,0,0,True,False,False,0.0,0,0
89,Sandra,0,0.9859999999999999,29,1,0,0,1,1,True,False,False,0.0,0,0
90,Jose,1,0.9999999999999999,43,1,0,1,1,1,True,False,False,0.0,0,0
91,Cindy,0,0.9539999999999998,28,0,0,1,1,1,True,False,False,0.0,0,0
92,Andrew,1,0.9779999999999999,18,0,1,0,0,1,True,False,False,0.0,0,0
93,Sara,0,0.9679999999999999,29,0,0,1,1,1,True,False,False,0.0,0,0
94,Amanda,0,0.9839999999999999,46,1,1,1,1,0,True,False,False,0.0,0,0
95,Stephanie,0,0.9869999999999999,41,1,0,1,1,1,True,False,False,0.0,0,0
96,Karen,0,0.9879999999999999,33,1,0,1,1,0,True,False,False,0.0,0,0
97,Kevin,1,0.9869999999999999,36,0,1,0,0,1,True,False,False,0.0,0,0
98,Francisco,1,0.9559999999999998,18,0,0,1,0,0,True,False,False,0.0,0,0
99,Matthew,1,0.9599999999999999,47,1,1,0,0,0,True,False,False,0.0,0,0
100,Barbara,0,0.9649999999999999,60,1,1,0,1,0,True,False,False,0.0,1,0
101,Joe,1,0.9809999999999999,33,0,1,0,0,1,True,False,False,0.0,1,0
102,Luis,1,0.9939999999999999,25,0,0,1,0,0,True,False,False,0.0,1,0
103,Kim,0,0.9659999999999999,19,1,1,0,0,0,True,False,False,0.0,1,0
104,Matt,1,0.9689999999999999,55,1,1,1,0,0,True,False,False,0.0,1,0
105,Justin,1,0.9629999999999999,54,1,1,0,1,0,True,False,False,0.0,1,0
106,Gloria,0,0.9599999999999999,56,1,1,0,0,1,True,False,False,0.0,1,0
107,Carlos,1,0.9949999999999999,58,0,1,0,1,1,True,False,False,0.0,1,0
108,Christopher,1,0.9539999999999998,29,0,1,1,0,0,True,False,False,0.0,1,0
109,Angela,0,0.9749999999999999,58,0,1,0,0,0,True,False,False,0.0,1,0
110,Nick,1,0.9569999999999999,22,1,1,1,1,1,True,False,False,0.0,1,0
111,Jessica,0,0.9969999999999999,62,0,1,1,0,1,True,False,False,0.0,1,0
112,Michelle,0,0.9959999999999999,43,1,1,0,0,1,True,False,False,0.0,1,0
113,Elizabeth,0,0.9919999999999999,39,0,1,1,0,1,True,False,False,0.0,1,0
114,Julie,0,0.9669999999999999,25,1,0,1,1,0,True,False,False,0.0,1,0
115,Samantha,0,0.9559999999999998,53,1,1,1,1,1,True,False,False,0.0,1,0
116,Javier,1,0.9519999999999998,32,1,1,0,0,0,True,False,False,0.0,1,0
117,Michael,1,0.9979999999999999,54,1,0,1,1,1,True,False,False,0.0,1,0
118,Anthony,1,0.9829999999999999,27,0,0,0,0,0,True,False,False,0.0,1,0
119,Martha,0,0.9719999999999999,43,1,0,1,0,0,True,False,False,0.0,1,0
120,Pedro,1,0.9509999999999998,22,0,1,1,1,1,True,False,False,0.0,1,0
121,Daniel,1,0.9909999999999999,53,0,1,1,1,0,True,False,False,0.0,1,0
122,Jorge,1,0.9839999999999999,54,1,0,1,0,1,True,False,False,0.0,1,0
123,Christina,0,0.9509999999999998,27,0,0,1,0,1,True,False,False,0.0,1,0
124,Sharon,0,0.9519999999999998,64,1,0,1,0,0,True,False,False,0.0,1,0
125,Robert,1,0.9879999999999999,48,0,1,0,1,0,True,False,False,0.0,1,0
126,Steven,1,0.9529999999999998,31,1,1,0,1,0,True,False,False,0.0,1,0
127,Anna,0,0.9699999999999999,51,1,1,1,1,1,True,False,False,0.0,1,0
128,Nicole,0,0.9799999999999999,56,0,1,0,0,0,True,False,False,0.0,1,0
129,Rosa,0,0.9759999999999999,18,1,0,1,1,1,True,False,False,0.0,1,0
130,Mary,0,0.9989999999999999,30,1,1,0,0,0,True,False,False,0.0,1,0
131,Ashley,0,0.9899999999999999,32,1,1,1,1,0,True,False,False,0.0,1,0
132,Steve,1,0.9639999999999999,41,1,1,1,0,0,True,False,False,0.0,1,0
133,Nancy,0,0.9829999999999999,50,1,0,1,0,1,True,False,False,0.0,1,0
134,Jason,1,0.9819999999999999,44,1,0,0,0,0,True,False,False,0.0,1,0
135,Ana,0,0.9929999999999999,58,0,1,0,0,1,True,False,False,0.0,1,0
136,Kimberly,0,0.9529999999999998,34,1,1,1,0,0,True,False,False,0.0,1,0
137,Claudia,0,0.9619999999999999,57,1,0,1,0,0,True,False,False,0.0,1,0
138,Katie,0,0.9639999999999999,43,0,0,0,1,0,True,False,False,0.0,1,0
139,Rachel,0,0.9729999999999999,46,0,1,0,0,1,True,False,False,0.0,1,0
140,Mark,1,0.9859999999999999,26,0,1,0,0,1,True,False,False,0.0,1,0
141,Richard,1,0.9729999999999999,30,0,1,1,0,0,True,False,False,0.0,1,0
142,Manuel,1,0.9669999999999999,38,0,0,0,1,0,True,False,False,0.0,1,0
143,Lisa,0,0.9949999999999999,25,1,0,0,0,1,True,False,False,0.0,1,0
144,William,1,0.9719999999999999,49,1,0,1,1,0,True,False,False,0.0,1,0
145,Linda,0,0.9889999999999999,57,0,1,0,1,1,True,False,False,0.0,1,0
146,Jennifer,0,0.9979999999999999,56,1,0,1,0,0,True,False,False,0.0,1,0
147,Brian,1,0.9849999999999999,64,1,1,1,1,1,True,False,False,0.0,1,0
148,Jonathan,1,0.9699999999999999,58,0,0,1,1,0,True,False,False,0.0,1,0
149,Juan,1,0.9959999999999999,58,1,0,1,0,1,True,False,False,0.0,1,0
150,Sarah,0,0.9939999999999999,64,0,1,0,0,1,True,False,False,0.0,1,0
151,Eric,1,0.9789999999999999,24,1,0,0,1,1,True,False,False,0.0,1,0
152,Victor,1,0.9709999999999999,26,0,1,0,1,1,True,False,False,0.0,1,0
153,Oscar,1,0.9549999999999998,51,1,1,0,1,0,True,False,False,0.0,1,0
154,Alex,1,0.9919999999999999,40,0,1,1,1,0,True,False,False,0.0,1,0
155,Mario,1,0.9589999999999999,43,1,1,1,0,0,True,False,False,0.0,1,0
156,Maria,0,0.9999999999999999,46,1,1,0,0,0,True,False,False,0.0,1,0
157,David,1,0.9989999999999999,28,0,1,0,0,1,True,False,False,0.0,1,0
158,Diana,0,0.9739999999999999,64,1,1,1,1,1,True,False,False,0.0,1,0
159,James,1,0.9899999999999999,33,0,1,1,0,0,True,False,False,0.0,1,0
160,Kelly,0,0.9709999999999999,61,1,0,1,0,1,True,False,False,0.0,1,0
161,Susan,0,0.9769999999999999,64,0,1,1,1,1,True,False,False,0.0,1,0
162,Tony,1,0.9649999999999999,27,0,0,0,1,0,True,False,False,0.0,1,0
163,Chris,1,0.9929999999999999,39,1,0,0,1,0,True,False,False,0.0,1,0
164,Miguel,1,0.9799999999999999,18,1,0,0,1,0,True,False,False,0.0,1,0
165,Jeff,1,0.9609999999999999,58,0,1,1,1,0,True,False,False,0.0,1,0
166,Carmen,0,0.9779999999999999,39,0,1,1,1,0,True,False,False,0.0,1,0
167,John,1,0.9969999999999999,32,0,0,1,1,1,True,False,False,0.0,1,0
168,Ryan,1,0.9769999999999999,64,1,1,0,1,0,True,False,False,0.0,1,0
169,Heather,0,0.9569999999999999,28,0,1,0,0,0,True,False,False,0.0,1,0
170,Brandon,1,0.9619999999999999,25,1,1,1,0,0,True,False,False,0.0,1,0
171,Mike,1,0.9889999999999999,25,0,1,1,0,1,True,False,False,0.0,1,0
172,Brenda,0,0.9689999999999999,44,0,0,1,1,1,True,False,False,0.0,1,0
173,Melissa,0,0.9849999999999999,62,0,1,0,1,0,True,False,False,0.0,1,0
174,Joseph,1,0.9679999999999999,29,1,1,1,1,1,True,False,False,0.0,1,0
175,Emily,0,0.9809999999999999,18,1,1,0,0,1,True,False,False,0.0,1,0
176,Teresa,0,0.9549999999999998,43,1,0,0,0,1,True,False,False,0.0,1,0
177,Paul,1,0.9749999999999999,34,1,0,0,0,1,True,False,False,0.0,1,0
178,Lauren,0,0.9609999999999999,43,1,1,1,1,1,True,False,False,0.0,1,0
179,Laura,0,0.9909999999999999,33,1,1,0,1,0,True,False,False,0.0,1,0
180,Amy,0,0.9789999999999999,19,0,1,1,0,0,True,False,False,0.0,1,0
181,Angel,1,0.9739999999999999,23,0,1,1,1,0,True,False,False,0.0,1,0
182,Scott,1,0.9579999999999999,54,1,1,0,1,1,True,False,False,0.0,1,0
183,Jesus,1,0.9759999999999999,60,0,1,1,1,1,True,False,False,0.0,1,0
184,Antonio,1,0.9659999999999999,27,1,0,0,1,0,True,False,False,0.0,1,0
185,Patricia,0,0.9819999999999999,64,0,1,1,1,1,True,False,False,0.0,1,0
186,Kathy,0,0.9579999999999999,26,1,0,1,0,0,True,False,False,0.0,1,0
187,Veronica,0,0.9589999999999999,21,1,0,0,0,1,True,False,False,0.0,1,0
188,Monica,0,0.9629999999999999,31,1,0,0,0,0,True,False,False,0.0,1,0
189,Sandra,0,0.9859999999999999,29,1,0,0,1,1,True,False,False,0.0,1,0
190,Jose,1,0.9999999999999999,43,1,0,1,1,1,True,False,False,0.0,1,0
191,Cindy,0,0.9539999999999998,28,0,0,1,1,1,True,False,False,0.0,1,0
192,Andrew,1,0.9779999999999999,18,0,1,0,0,1,True,False,False,0.0,1,0
193,Sara,0,0.9679999999999999,29,0,0,1,1,1,True,False,False,0.0,1,0
194,Amanda,0,0.9839999999999999,46,1,1,1,1,0,True,False,False,0.0,1,0
195,Stephanie,0,0.9869999999999999,41,1,0,1,1,1,True,False,False,0.0,1,0
196,Karen,0,0.9879999999999999,33,1,0,1,1,0,True,False,False,0.0,1,0
197,Kevin,1,0.9869999999999999,36,0,1,0,0,1,True,False,False,0.0,1,0
198,Francisco,1,0.9559999999999998,18,0,0,1,0,0,True,False,False,0.0,1,0
199,Matthew,1,0.9599999999999999,47,1,1,0,0,0,True,False,False,0.0,1,0
