,name,gender,Name Rank,age,agreeableness_score,conscientiousness_score,surgency_score,emotional_stability_score,intellect_score,Condition_feels normal,Condition_has a fever and a cough,Condition_has a light cough,Daily New Cases Day 4,Time Step,Response
0,Elizabeth,0,0.9919999999999999,63,1,1,1,0,0,True,False,False,0.0,0,0
1,Gloria,0,0.9599999999999999,50,1,0,0,1,1,True,False,False,0.0,0,0
2,Samantha,0,0.9559999999999998,45,1,1,0,0,0,True,False,False,0.0,0,0
3,Ana,0,0.9929999999999999,56,1,0,1,1,1,True,False,False,0.0,0,0
4,Steve,1,0.9639999999999999,22,0,0,1,1,1,True,False,False,0.0,0,0
5,Melissa,0,0.9849999999999999,48,0,1,0,1,1,True,False,False,0.0,0,0
6,Robert,1,0.9879999999999999,56,1,1,0,1,0,True,False,False,0.0,0,0
7,Angel,1,0.9739999999999999,33,0,1,1,0,0,True,False,False,0.0,0,0
8,Jessica,0,0.9969999999999999,40,0,0,0,0,1,True,False,False,0.0,0,0
9,Michael,1,0.9979999999999999,40,0,0,1,1,0,True,False,False,0.0,0,0
10,John,1,0.9969999999999999,22,1,1,1,0,1,True,False,False,0.0,0,0
11,Cindy,0,0.9539999999999998,60,0,1,1,1,1,True,False,False,0.0,0,0
12,Paul,1,0.9749999999999999,49,0,0,0,0,1,True,False,False,0.0,0,0
13,Linda,0,0.9889999999999999,57,0,0,1,1,0,True,False,False,0.0,0,0
14,Jonathan,1,0.9699999999999999,26,1,1,0,0,0,True,False,False,0.0,0,0
15,Francisco,1,0.9559999999999998,52,1,0,1,1,1,True,False,False,0.0,0,0
16,Martha,0,0.9719999999999999,41,1,0,0,0,1,True,False,False,0.0,0,0
17,Tony,1,0.9649999999999999,51,0,0,0,1,1,True,False,False,0.0,0,0
18,Jose,1,0.9999999999999999,59,0,1,0,1,1,True,False,False,0.0,0,0
19,Jesus,1,0.9759999999999999,58,1,0,0,1,0,True,False,False,0.0,0,0
20,Angela,0,0.9749999999999999,42,1,0,0,1,0,True,False,False,0.0,0,0
21,Brandon,1,0.9619999999999999,52,1,1,0,0,0,True,False,False,0.0,0,0
22,Claudia,0,0.9619999999999999,24,1,0,1,1,0,True,False,False,0.0,0,0
23,Mike,1,0.9889999999999999,57,1,0,1,1,1,True,False,False,0.0,0,0
24,Diana,0,0.9739999999999999,24,1,1,1,0,1,True,False,False,0.0,0,0
25,Steven,1,0.9529999999999998,46,1,0,1,1,0,True,False,False,0.0,0,0
26,Kathy,0,0.9579999999999999,24,0,1,1,1,0,True,False,False,0.0,0,0
27,Ashley,0,0.9899999999999999,44,1,0,1,1,1,True,False,False,0.0,0,0
28,Andrew,1,0.9779999999999999,40,1,0,0,0,1,True,False,False,0.0,0,0
29,Juan,1,0.9959999999999999,54,0,0,0,0,1,True,False,False,0.0,0,0
30,Christina,0,0.9509999999999998,30,1,1,0,1,0,True,False,False,0.0,0,0
31,Anthony,1,0.9829999999999999,55,0,0,0,1,0,True,False,False,0.0,0,0
32,James,1,0.9899999999999999,22,1,1,0,0,0,True,False,False,0.0,0,0
33,Pedro,1,0.9509999999999998,36,1,0,1,1,0,True,False,False,0.0,0,0
34,Stephanie,0,0.9869999999999999,29,1,1,0,0,1,True,False,False,0.0,0,0
35,Javier,1,0.9519999999999998,30,0,1,0,1,1,True,False,False,0.0,0,0
36,Teresa,0,0.9549999999999998,52,0,1,1,1,1,True,False,False,0.0,0,0
37,Emily,0,0.9809999999999999,26,0,0,0,0,1,True,False,False,0.0,0,0
38,Luis,1,0.9939999999999999,64,0,0,0,1,1,True,False,False,0.0,0,0
39,Antonio,1,0.9659999999999999,29,1,0,0,1,0,True,False,False,0.0,0,0
40,Sharon,0,0.9519999999999998,31,0,0,1,1,0,True,False,False,0.0,0,0
41,Monica,0,0.9629999999999999,64,1,1,1,1,1,True,False,False,0.0,0,0
42,Matt,1,0.9689999999999999,23,0,0,0,0,1,True,False,False,0.0,0,0
43,Oscar,1,0.9549999999999998,45,0,1,0,0,1,True,False,False,0.0,0,0
44,Jorge,1,0.9839999999999999,52,1,1,0,0,0,True,False,False,0.0,0,0
45,Heather,0,0.9569999999999999,18,1,0,0,0,0,True,False,False,0.0,0,0
46,Matthew,1,0.9599999999999999,40,0,0,1,0,0,True,False,False,0.0,0,0
47,Mark,1,0.9859999999999999,31,0,0,1,0,0,True,False,False,0.0,0,0
48,Sarah,0,0.9939999999999999,54,0,0,0,1,1,True,False,False,0.0,0,0
